"","rank","target","id","raw.score","p.value","top.motif.prop"
"34",34,"NHLH1","M3375_1.02",5.96216419572746,0.000713375386874377,0.168224299065421
"35",35,"ZNF671","ZNF671",1.67590365722678,0.000733116407814287,0.11214953271028
"37",37,"LUZP1","LUZP1",3.33009502830137,0.000819273840189752,0.14018691588785
"38",38,"ASCC1","ASCC1",2.92102073878172,0.000884642139069348,0.130841121495327
"40",40,"HSPA1L","HSPA1L",2.19868217714595,0.000961878268233238,0.14018691588785
"42",42,"EIF5A2","EIF5A2",1.62752489555967,0.00115664903951702,0.121495327102804
"43",43,"NXPH3","NXPH3",2.69165413128277,0.0012287905797258,0.14018691588785
"44",44,"RARG","RARG",1.84633117548854,0.00129049105763449,0.102803738317757
"45",45,"ZCCHC14","ZCCHC14",2.97053547510457,0.00148883993318746,0.14018691588785
"49",49,"CEBPG","M6173_1.02",1.28204218738251,0.00178496596963861,0.130841121495327
"53",53,"USF1","M4480_1.02",3.72044803355595,0.00232601050032654,0.149532710280374
"54",54,"MED30","THRAP6",2.53953386359328,0.002382220058244,0.121495327102804
"55",55,"RBM17","RBM17",1.85882340488902,0.00262619518272491,0.14018691588785
"56",56,"FEZF2","FEZF2",2.09707306621941,0.00266111073198665,0.130841121495327
"57",57,"RBM7","RBM7",1.68014127734258,0.00288457733103805,0.121495327102804
"59",59,"ARID3A","M6147_1.02",0.688180722002738,0.0030722969078691,0.14018691588785
"60",60,"AHR","M2917_1.02",3.35348709059811,0.00311755237400113,0.0654205607476635
"61",61,"FGF19","FGF19",2.06112034747903,0.00311922933984679,0.158878504672897
"62",62,"CEBPB","M3036_1.02",1.42238574218123,0.00324949284990485,0.102803738317757
"64",64,"MAFF","M4572_1.02",2.41740677529563,0.00407998383050076,0.121495327102804
"65",65,"TFAP2C","Hsapiens-jolma2013-TFAP2C-6",4.03590751985436,0.00412108184069758,0.0841121495327103
"66",66,"ZSCAN31","ZNF323",1.04250675124337,0.00423781480787184,0.102803738317757
"67",67,"DIABLO","DIABLO",2.72361473147416,0.00425678427113802,0.149532710280374
"68",68,"CREB1","M4012_1.02",4.91296639437036,0.00451733147519772,0.186915887850467
"69",69,"MTHFD1","MTHFD1",3.20380932297336,0.00454004646213248,0.158878504672897
"71",71,"SP3","Hsapiens-jolma2013-SP3",15.8477572094509,0.00483664904225873,0.121495327102804
"72",72,"TFAP2A","TFAP2A",4.28659824867352,0.00519368142764926,0.121495327102804
"74",74,"CEBPB","M4556_1.02",2.58944899059156,0.00534976869336448,0.158878504672897
"75",75,"USP39","USP39",1.48744442835261,0.00540460707096495,0.102803738317757
"76",76,"MYC","M4645_1.02",1.82778225172213,0.00607338375102116,0.0934579439252336
"77",77,"AGGF1","AGGF1",3.81116604804368,0.00624232630543933,0.168224299065421
"81",81,"FOXN3","CHES1",1.84535478510683,0.00701314696373999,0.102803738317757
"82",82,"CEBPG","CEBPG",1.19204738375366,0.00715314612421877,0.14018691588785
"83",83,"USF1","M4578_1.02",2.92161363233631,0.00776743681857233,0.14018691588785
"88",88,"JUND","M4541_1.02",1.01062285305277,0.0088847992586472,0.11214953271028
"89",89,"PKNOX2","PKNOX2",1.8422689666907,0.00905883136813939,0.130841121495327
"93",93,"RAB7A","RAB7A",2.4963907118292,0.00967111955580074,0.0934579439252336
"94",94,"MRPL2","MRPL2",1.30448439086301,0.0097534767153896,0.0841121495327103
"95",95,"ELK1","ELK1",1.35166441421153,0.00984639046685931,0.102803738317757
"96",96,"PDS5A","SCC-112",2.61860469321774,0.0102270041343192,0.130841121495327
"97",97,"NFE2","M4629_1.02",2.42633293914346,0.010367834255103,0.102803738317757
"99",99,"BHLHE40","M6160_1.02",1.63634511251857,0.0105386070984928,0.0747663551401869
"100",100,"TFAP4","M2947_1.02",2.49539163459172,0.0111630131620367,0.0467289719626168
"101",101,"SP1","SP1",22.4729551366771,0.0114152205051305,0.0934579439252336
"104",104,"DIS3","DIS3",1.71615153583057,0.011566891721792,0.130841121495327
"106",106,"FOS","M4590_1.02",4.4728147811328,0.0119021435899899,0.0841121495327103
"108",108,"JUND","M4506_1.02",8.91333589092131,0.0125428481584754,0.158878504672897
